subject_id,trial_type,eeg_alpha,eeg_beta,eeg_theta,gsr_mean,ppg_mean,blink_rate,cognitive_load
sub-01,New Segment/,5.605117563391691e-12,2.226896571404053e-12,4.640437748752133e-12,3.446627856528452,2718.6584547222574,16.0,0
sub-01,Comment/Active Shielding: On,5.605117563391691e-12,2.226896571404053e-12,4.640437748752133e-12,3.446627856528452,2718.6584547222574,16.0,0
sub-01,Stimulus/S 11,5.8227733873367814e-12,2.5884318059409343e-12,3.4479614793126425e-12,3.3585357727035525,2714.224523361347,15.75,0
sub-01,Stimulus/S 11,1.0719428714080334e-11,2.5863616040913282e-12,9.804838722505422e-12,3.3586112584212042,2716.66482783601,15.25,0
sub-01,Stimulus/S 11,8.283354731275785e-12,2.924701220003982e-12,6.811954653623608e-12,3.3603935048151716,2718.7145228829513,14.25,0
sub-01,Stimulus/S 11,1.0206780431729977e-11,2.963549933824756e-12,9.657895692823771e-12,3.362912053187112,2719.015445894386,15.25,0
sub-01,Stimulus/S 11,7.94584762174007e-12,2.7328501909737184e-12,7.300714722149976e-12,3.3652568694145435,2720.14871443272,16.75,0
sub-01,Stimulus/S 12,9.66311838673148e-12,3.1975135442847024e-12,1.0453349949103424e-11,3.3660851772950013,2723.2256196693015,18.25,0
sub-01,Stimulus/S 12,3.2528659791922694e-12,2.487455649684621e-12,4.9283399626702404e-12,3.339591752204619,2719.102568791396,13.75,0
sub-01,Stimulus/S 12,7.13840180908337e-12,3.4767422932040413e-12,9.73327711779929e-12,3.3040147620718114,2716.516593166162,15.75,0
sub-01,Stimulus/S 12,4.109515021727112e-12,2.368912407148796e-12,3.155678073998363e-12,3.2850570951393623,2714.046223990877,10.5,0
sub-01,Stimulus/S 12,2.1041730313350507e-11,1.5129338635977633e-11,4.289560011981181e-11,3.2513902011557656,2719.040931222273,13.5,0
sub-01,Stimulus/S 12,1.0093615338140812e-11,2.8238839957720684e-12,1.359218367109404e-11,3.214621692763302,2710.2571417204294,13.0,0
sub-01,Stimulus/S 12,3.9906960469482575e-11,1.2474853070266793e-11,8.02057925784267e-11,3.23290554171531,2714.34937110449,15.25,0
sub-01,Stimulus/S 12,1.3304002031854354e-11,3.4737915362354193e-12,1.7333505542830308e-11,3.1928476408939606,2714.9766886891557,14.5,0
sub-01,Stimulus/S 12,4.037870792916773e-11,1.1278341971498745e-11,7.690593464350322e-11,3.1673686841046087,2714.0791814253466,10.25,0
sub-01,Stimulus/S 12,3.0685245422778494e-11,1.1892791582784951e-11,2.3146831454561307e-11,3.2229903481656743,2717.2187929580105,13.5,0
