onset_idx,offset_idx,onset_time,offset_time,amplitude,duration
24,39,-0.05051,0.019464,37.18554976560115,0.069974
41,66,0.029453,0.2421,10.631094477992376,0.212647
70,71,0.319584,0.339863,9.28159522926959,0.020279000000000047
73,80,0.382843,0.409229,0.5014283298737717,0.02638600000000002
85,88,0.429212,0.439201,33.526014214934655,0.009989000000000026
90,92,0.449192,0.459183,4.904090766900629,0.009991000000000028
94,112,0.469176,0.539152,37.071274593679675,0.06997599999999998
116,122,0.552156,0.579124,9.933610119186277,0.026967999999999992
125,127,0.589122,0.59912,4.90558368086816,0.009997999999999951
131,157,0.610314,0.719028,9.697272281420172,0.10871399999999998
161,163,0.736354,0.739024,9.775396718292308,0.002670000000000061
166,167,0.755778,0.75902,9.81116736173632,0.003242000000000078
170,205,0.769019,0.908932,0.2136708215924673,0.13991299999999995
207,219,0.918924,0.968883,4.960250441761988,0.04995900000000009
221,241,0.97888,1.056885,33.059822095710075,0.0780050000000001
245,288,1.068828,1.238717,33.351688793972635,0.16988900000000018
290,357,1.248713,1.518578,0.14831237305093598,0.269865
360,444,1.528572,1.862934,5.026557128144471,0.33436200000000005
446,446,1.868347,1.868347,0.0,0.0
448,473,1.878369,1.978321,0.006280127387243044,0.09995200000000004
476,501,1.988809,2.088253,9.786762129529867,0.09944399999999987
503,546,2.098251,2.268134,0.1500788126285653,0.169883
550,635,2.288117,2.627925,30.825989377958333,0.33980799999999967
638,724,2.637915,2.977698,33.36506669752063,0.33978300000000017
726,727,2.987715,2.990029,0.3063151971417677,0.002313999999999705
729,778,2.997709,3.197573,0.6974133136096557,0.19986400000000026
781,789,3.207564,3.237537,37.863102145624566,0.029973000000000027
791,809,3.247533,3.317504,4.77886862604529,0.06997100000000023
812,907,3.329919,3.707268,1.53592898598861,0.37734900000000016
909,913,3.717261,3.737277,4.8587061057960685,0.020016000000000034
915,989,3.741132,4.037083,9.984030963994453,0.2959510000000001
992,999,4.048966,4.077052,0.6861319115155629,0.028086000000000055
1001,1201,4.087044,4.886589,0.7828819898298849,0.7995450000000002
1206,1215,4.906571,4.946539,0.7044437521903363,0.039968000000000004
1217,1234,4.951798,5.016517,1.179440702197444,0.06471900000000019
1236,1248,5.026503,5.076462,33.01936550632068,0.04995900000000031
1252,1283,5.092894,5.21638,0.41209364227078293,0.12348599999999976
1285,1289,5.226396,5.236386,35.3200056625137,0.009990000000000165
1292,1294,5.255126,5.256374,1.7370095221385515,0.00124800000000036
1296,1371,5.266364,5.566176,0.21248582599787683,0.2998119999999993
1374,1404,5.576838,5.696101,10.486908015234997,0.11926299999999923
1406,1471,5.706087,5.965935,0.21492482406646282,0.25984799999999986
1473,1489,5.975959,6.042496,33.31756389653961,0.06653700000000029
1491,1500,6.045898,6.085862,33.294762350856324,0.039963999999999444
1502,1528,6.095857,6.195801,37.51418858885262,0.0999440000000007
1531,1534,6.205793,6.21579,28.790897796699568,0.009997000000000256
1536,1540,6.225806,6.245793,0.034014702703389896,0.019986999999999533
1542,1542,6.25239,6.25239,0.0,0.0
1546,1559,6.265773,6.315733,37.341060286633535,0.04995999999999956
1562,1614,6.332621,6.535611,10.500973620098282,0.20299000000000067
1616,1734,6.5456,7.015336,36.22917165227491,0.46973599999999927
1737,1765,7.027101,7.145252,9.878918817360532,0.11815100000000012
1767,1798,7.150729,7.275175,0.14763231353602776,0.12444599999999983
1801,1805,7.285171,7.305148,0.8178117142716899,0.01997699999999991
1807,1816,7.312043,7.345147,1.8558005765706616,0.0331039999999998
1818,1833,7.355136,7.415094,0.3527608148590203,0.059957999999999956
1837,1857,7.433186,7.506253,9.935611204148438,0.073067
1860,1880,7.525029,7.604992,29.742320017106938,0.07996300000000023
1882,1893,7.60702,7.654952,9.804966553742037,0.04793199999999942
1896,1900,7.664941,7.684928,0.8122794839216365,0.01998700000000042
1902,1914,7.689642,7.734919,0.9753793518421434,0.04527699999999957
1916,2029,7.744905,8.194653,33.37765373015306,0.4497480000000005
2032,2161,8.20649,8.724333,9.877931058678229,0.5178429999999992
2164,2207,8.734328,8.91243,0.8031864556253423,0.17810200000000087
2210,2255,8.924196,9.104103,0.2774486078537789,0.17990700000000004
2258,2270,9.114098,9.164058,33.08298203004076,0.04996000000000045
2274,2296,9.178861,9.264003,0.6583889427990115,0.08514200000000116
2299,2359,9.276894,9.513856,10.422878935303814,0.23696200000000012
2361,2363,9.523848,9.533845,0.19969121162434766,0.009997000000000256
2367,2379,9.550187,9.59382,0.769946829333039,0.04363299999999981
2381,2391,9.60381,9.643779,24.93723721666055,0.03996900000000103
2393,2410,9.65377,9.723743,0.2752616936662274,0.06997300000000095
2412,2430,9.73374,9.803704,0.7776205565698479,0.06996400000000058
2433,2475,9.8137,9.983587,0.7416944451726736,0.16988699999999923
2477,2580,9.993578,10.403326,33.6125333767034,0.40974800000000045
2582,2599,10.41221,10.473298,9.779328248913624,0.06108799999999981
2601,2610,10.483294,10.523259,38.77246574568092,0.039964999999998696
2612,2635,10.533255,10.623203,0.7919305083149658,0.0899479999999997
2637,2650,10.633198,10.683188,0.8610672912148039,0.04998999999999931
2652,2654,10.683435,10.69318,0.46897502065675095,0.009745000000000559
2656,2664,10.703163,10.733149,0.34747542718874386,0.02998599999999918
2666,2700,10.743135,10.883052,37.5978097766346,0.13991699999999874
2702,2724,10.887362,10.973008,0.4209322985944414,0.08564600000000056
2726,2740,10.982996,11.042947,28.29512163553993,0.059950999999999866
2742,2770,11.048224,11.162877,0.6268169270209605,0.11465300000000056
2772,2784,11.172316,11.212868,9.794419329393651,0.04055199999999992
2787,2798,11.230333,11.272814,0.4350111837642797,0.042481000000000435
2802,2807,11.292801,11.305156,17.136412390725198,0.01235499999999945
2810,2814,11.322803,11.3328,143.87256062223958,0.009997000000000256
2817,2818,11.346066,11.352776,9.85038704823318,0.006709999999999994
2822,2847,11.36537,11.462717,9.944835550173767,0.09734699999999918
2850,2857,11.481282,11.502681,9.803275626034392,0.021399000000000612
2860,2861,11.519978,11.522668,9.74869027100564,0.002689999999999415
2864,2867,11.532664,11.542649,0.7103430509268039,0.009985000000000355
2869,2876,11.552669,11.582648,33.68067843734743,0.029979000000000866
2878,2880,11.592639,11.602631,0.25174018352261524,0.009992000000000445
2883,2883,11.612626,11.612626,0.0,0.0
2888,2889,11.632608,11.632608,0.47331015201451154,0.0
2891,2895,11.642598,11.66258,50.357317243872316,0.01998200000000061
2897,2900,11.665298,11.682597,9.918380229150323,0.01729899999999951
2902,2910,11.684688,11.722563,9.85038704823318,0.03787499999999966
2912,2915,11.72349,11.742544,9.883896498851048,0.01905400000000057
2917,2925,11.742902,11.782513,9.908752948782203,0.03961099999999895
2927,2943,11.784907,11.852484,1.8093545810592242,0.067577
2947,2968,11.869126,11.952428,9.868275077236143,0.08330199999999977
2970,2988,11.956687,12.032365,10.045243735221161,0.07567799999999991
2991,2997,12.042357,12.062368,42.823434764156886,0.020010999999998447
2999,3017,12.07236,12.1423,0.2590704006636034,0.06994000000000078
3019,3036,12.152291,12.222265,33.41338953174311,0.0699740000000002
3038,3074,12.232259,12.372174,43.79799403739856,0.13991499999999846
3076,3093,12.382165,12.452136,5.194064583734014,0.0699709999999989
3095,3095,12.462126,12.462126,0.0,0.0
3097,3099,12.464951,12.472118,0.8118152499183543,0.007167000000000812
3102,3113,12.486179,12.532075,1.090731864391978,0.045896000000000825
3117,3118,12.549863,12.552079,0.6912481464712944,0.002216000000000662
3122,3126,12.569918,12.582059,9.834124363663497,0.012140999999999735
3130,3131,12.599093,12.60204,9.86987345410264,0.002947000000000699
3135,3136,12.618543,12.622022,9.86987345410264,0.0034789999999986776
3140,3146,12.637993,12.662021,9.914651632810907,0.024027999999999494
3148,3151,12.672011,12.682007,33.06713322923534,0.009996000000001004
3153,3161,12.691999,12.721971,64.6497161633367,0.029972000000000776
3163,3165,12.731968,12.740906,30.723674910400934,0.008938000000000557
3171,3183,12.76194,12.811929,0.22375432956704994,0.04998900000000006
3187,3254,12.822808,13.091757,9.756572505239738,0.2689489999999992
3256,3259,13.101747,13.111737,32.02754595656682,0.009990000000000165
3261,3269,13.12173,13.151705,0.7252279641602356,0.029975000000000307
3272,3274,13.16865,13.171721,0.847763221660388,0.003071000000000268
3276,3367,13.18171,13.543307,0.6626016676707055,0.3615969999999997
